Generator,period,seller,carrier,node,min_prod,max_prod,size1,cost1,no_load_cost,min_uptime
DE0 0 onwind,1,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,2,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,3,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,4,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,5,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,6,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,7,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,8,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,9,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,10,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,11,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,12,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,13,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,14,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,15,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,16,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,17,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,18,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,19,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,20,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,21,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 onwind,22,5,onwind,DE0 0,0.0,0.6639220984176796,0.6639220984176796,0.024961863802968727,0.0,0
DE0 0 onwind,23,5,onwind,DE0 0,0.0,0.6539036283970061,0.6539036283970061,0.024961863802968727,0.0,0
DE0 0 onwind,24,5,onwind,DE0 0,0.0,0.0,0.0,0.024961863802968727,0.0,0
DE0 0 ror,1,6,ror,DE0 0,0.0,339.3736455241104,339.3736455241104,0.0097842350363883,0.0,0
DE0 0 ror,2,6,ror,DE0 0,0.0,339.28331238616454,339.28331238616454,0.0097842350363883,0.0,0
DE0 0 ror,3,6,ror,DE0 0,0.0,339.19325390362275,339.19325390362275,0.0097842350363883,0.0,0
DE0 0 ror,4,6,ror,DE0 0,0.0,339.1036386939735,339.1036386939735,0.0097842350363883,0.0,0
DE0 0 ror,5,6,ror,DE0 0,0.0,339.0128925386401,339.0128925386401,0.0097842350363883,0.0,0
DE0 0 ror,6,6,ror,DE0 0,0.0,338.92152932044934,338.92152932044934,0.0097842350363883,0.0,0
DE0 0 ror,7,6,ror,DE0 0,0.0,338.83079802818946,338.83079802818946,0.0097842350363883,0.0,0
DE0 0 ror,8,6,ror,DE0 0,0.0,338.73975424045176,338.73975424045176,0.0097842350363883,0.0,0
DE0 0 ror,9,6,ror,DE0 0,0.0,338.6504147411582,338.6504147411582,0.0097842350363883,0.0,0
DE0 0 ror,10,6,ror,DE0 0,0.0,338.57156914767705,338.57156914767705,0.0097842350363883,0.0,0
DE0 0 ror,11,6,ror,DE0 0,0.0,338.52067493118636,338.52067493118636,0.0097842350363883,0.0,0
DE0 0 ror,12,6,ror,DE0 0,0.0,338.52507425338166,338.52507425338166,0.0097842350363883,0.0,0
DE0 0 ror,13,6,ror,DE0 0,0.0,338.65717653669594,338.65717653669594,0.0097842350363883,0.0,0
DE0 0 ror,14,6,ror,DE0 0,0.0,338.8355315131853,338.8355315131853,0.0097842350363883,0.0,0
DE0 0 ror,15,6,ror,DE0 0,0.0,339.0180111530092,339.0180111530092,0.0097842350363883,0.0,0
DE0 0 ror,16,6,ror,DE0 0,0.0,339.1301428265807,339.1301428265807,0.0097842350363883,0.0,0
DE0 0 ror,17,6,ror,DE0 0,0.0,339.1376030927392,339.1376030927392,0.0097842350363883,0.0,0
DE0 0 ror,18,6,ror,DE0 0,0.0,339.0498868431933,339.0498868431933,0.0097842350363883,0.0,0
DE0 0 ror,19,6,ror,DE0 0,0.0,338.9553820374161,338.9553820374161,0.0097842350363883,0.0,0
DE0 0 ror,20,6,ror,DE0 0,0.0,338.86042768207494,338.86042768207494,0.0097842350363883,0.0,0
DE0 0 ror,21,6,ror,DE0 0,0.0,338.7665387489533,338.7665387489533,0.0097842350363883,0.0,0
DE0 0 ror,22,6,ror,DE0 0,0.0,338.6725884897868,338.6725884897868,0.0097842350363883,0.0,0
DE0 0 ror,23,6,ror,DE0 0,0.0,338.57649926387296,338.57649926387296,0.0097842350363883,0.0,0
DE0 0 ror,24,6,ror,DE0 0,0.0,338.48014556435066,338.48014556435066,0.0097842350363883,0.0,0
DE0 0 solar,1,7,solar,DE0 0,0.0,0.0,0.0,0.01968635603230174,0.0,0
DE0 0 solar,2,7,solar,DE0 0,0.0,0.0,0.0,0.01968635603230174,0.0,0
DE0 0 solar,3,7,solar,DE0 0,0.0,0.0,0.0,0.01968635603230174,0.0,0
DE0 0 solar,4,7,solar,DE0 0,0.0,0.0,0.0,0.01968635603230174,0.0,0
DE0 0 solar,5,7,solar,DE0 0,0.0,0.0,0.0,0.01968635603230174,0.0,0
DE0 0 solar,6,7,solar,DE0 0,0.0,0.0,0.0,0.01968635603230174,0.0,0
DE0 0 solar,7,7,solar,DE0 0,0.0,0.0,0.0,0.01968635603230174,0.0,0
DE0 0 solar,8,7,solar,DE0 0,0.0,73.38040212460001,73.38040212460001,0.01968635603230174,0.0,0
DE0 0 solar,9,7,solar,DE0 0,0.0,121.28211560829962,121.28211560829962,0.01968635603230174,0.0,0
DE0 0 solar,10,7,solar,DE0 0,0.0,134.95213866762273,134.95213866762273,0.01968635603230174,0.0,0
DE0 0 solar,11,7,solar,DE0 0,0.0,148.69322984800036,148.69322984800036,0.01968635603230174,0.0,0
DE0 0 solar,12,7,solar,DE0 0,0.0,136.26420209547828,136.26420209547828,0.01968635603230174,0.0,0
DE0 0 solar,13,7,solar,DE0 0,0.0,103.0386129437367,103.0386129437367,0.01968635603230174,0.0,0
