node,longitude,latitude
3371,11.36261,48.852065
3372,11.501312,48.793295
3373,11.840515,48.869232
3374,11.778717,48.546615
3375,11.260986,48.348948
3378,11.67984,48.322474
3379,11.825409,48.314255
3381,12.292328,48.659222
3394,12.741394,48.801436
3396,13.035278,48.67736
3566,7.71240200000001,48.103763
3571,7.877197,48.499318
3572,8.022766,48.643798
3573,8.24386599999999,48.763431
3600,8.14910899999999,47.706989
3602,8.205414,47.649662
3741,8.74786399999999,48.516604
3743,8.92501799999999,48.806863
3745,9.13375899999999,48.821333
3747,8.860474,48.244797
3748,9.22851599999999,48.772483
3749,9.32876600000001,48.736267
3750,9.299927,48.671013
3751,9.27932699999999,48.592051
3752,9.243622,48.485666
3754,9.39605700000001,48.037692
3755,9.59930400000001,48.398209
3778,9.60617100000001,47.709762
3779,9.73251299999999,47.623752
3792,10.095062,48.793295
3793,10.170593,48.494768
3794,10.204926,48.622924
3796,9.84374999999999,48.243882
3798,10.062103,48.199964
3799,10.829773,48.62837
3803,10.781708,48.315168
3806,10.347748,47.742094
4548,11.637268,52.27404
4553,11.45462,51.606077
4554,11.807556,51.415482
4557,11.453247,50.981776
4559,12.382965,51.268789
4562,12.078094,50.767734
4565,13.30719,52.228641
4566,12.99408,51.814558
4567,13.509064,52.470233
4568,13.914185,51.894292
4571,12.694702,51.116455
4573,12.801819,50.851041
4577,13.447266,51.299711
4584,11.722412,50.582365
4585,11.78009,50.271788
4589,11.306305,49.454735
4590,12.049255,49.688955
4592,12.031403,49.350177
4620,14.397583,51.795027
4625,14.18335,51.187951
4626,14.441528,51.532669
4627,14.478607,51.364064
4666,6.58493,51.245584
4685,6.615143,51.630805
4691,6.591797,51.455718
4693,6.36657700000001,51.222368
4695,6.60003699999999,51.346912
4697,6.71264599999999,51.550605
4698,6.834869,51.537794
4700,6.84997599999999,51.459141
4701,6.98181199999998,51.58475
4703,7.02300999999999,51.49592
4705,6.628876,51.113869
4709,6.46545399999999,50.831096
4710,6.51351899999999,50.9342
4713,6.78955099999999,51.094898
4715,6.679688,50.995607
4716,6.869202,51.175038
4717,6.95846599999999,51.125937
4719,6.99142500000001,51.050891
4720,7.02712999999999,50.889174
4722,6.92138699999999,50.773813
4723,7.26745599999999,52.464377
4724,7.12738000000001,52.213497
4728,7.06420899999999,51.66063
4730,7.67532300000001,51.975576
4731,7.40890499999999,51.666593
4733,7.382813,51.624837
4736,7.930756,52.283282
4738,8.283691,52.344569
4740,8.14498900000001,52.254709
4742,7.830505,51.715118
4744,8.06808499999999,51.653815
4746,8.20678699999999,52.041511
4748,8.427887,51.898529
4749,8.245239,51.800972
4750,7.18231199999999,51.471119
4752,7.13424699999999,51.412912
4754,7.22900399999999,51.539502
4755,7.31414799999999,51.513871
4757,7.27981599999999,51.406916
4759,7.15484599999999,51.342623
4761,7.13012700000001,51.207744
4763,7.396545,51.427471
4765,7.47207600000001,51.351201
4766,7.69455000000001,51.348628
4768,7.153473,50.787706
4773,7.99942000000001,51.05866
4775,8.05709800000001,50.883976
4777,7.921143,50.813745
4778,8.386688,51.158677
4779,8.24661300000001,50.930738
4795,6.568451,50.403266
4796,6.97631799999999,50.598058
4798,6.52587899999999,49.966239
4800,7.00378399999999,50.095036
4831,6.69891399999999,49.823809
4832,6.84997599999999,49.712049
4834,6.740112,49.462769
4836,6.94198599999999,49.387737
4845,7.09716799999999,50.632042
4846,7.38143899999999,50.376999
4847,7.58331300000001,50.322669
4848,8.110657,50.398014
4849,7.856598,49.943267
4850,8.400421,50.1241
4852,8.35235599999999,50.039502
4853,8.39218100000001,49.90348
4854,7.257843,49.422587
4859,8.411407,49.20414
4861,8.326263,49.009952
4863,8.66546600000001,52.104818
4864,8.89205900000001,52.390687
4865,8.92364499999999,52.173089
4867,8.607788,52.026304
4869,8.75747699999999,52.014472
4870,8.691559,51.707459
4871,8.95111099999999,51.984034
4876,8.691559,51.385495
4877,8.89617900000001,51.345196
4883,9.527893,51.194836
4884,9.25735500000001,51.030167
4885,9.621277,50.85971
4886,10.020905,52.337856
4887,10.178833,52.245461
4888,10.299683,52.286643
4890,10.452118,52.258912
4891,10.511169,52.19919
4892,10.443878,52.118312
4896,10.829773,52.338695
4898,10.997314,52.205082
4900,11.017914,51.475396
4901,8.48419199999999,50.66252
4902,8.705292,50.657297
4905,8.76022300000001,50.242814
4907,8.75061000000001,50.117056
4909,8.53363,49.989201
4911,8.97170999999999,50.095917
4913,8.800049,49.93266
4915,9.672089,50.543981
4917,8.53500399999999,49.693397
4918,8.471832,49.603591
4920,8.499298,49.433306
4923,8.478699,49.283036
4924,8.54461699999999,49.382373
4925,8.603668,49.300949
4930,8.96347,49.275869
4931,9.06234699999999,49.155664
4932,9.36309800000001,49.604481
4937,9.350739,49.028864
4938,9.54574599999999,49.263324
4941,9.908295,49.927356
4942,10.081329,49.950336
4944,11.14563,50.49159
4945,10.784454,49.957405
4946,11.178589,50.21558
4947,11.03302,49.980371
4948,10.802307,49.408293
4949,11.022034,49.629393
5622,13.066864,54.259609
5678,14.022675,54.644439
5679,11.46286,53.563967
5685,12.271729,54.068253
5687,12.204437,53.760078
5689,11.759491,52.733797
5691,12.182465,53.245495
5693,13.132782,53.901911
5695,13.599701,54.113358
5696,14.039154,53.508468
5699,12.941895,52.56216
5701,13.212433,52.581357
5703,13.248138,52.532932
5704,13.312683,52.522906
5706,13.368988,52.503684
5709,13.522797,52.534602
5711,13.708191,52.537944
5783,8.390808,53.343173
5786,7.38830599999999,53.076703
5787,7.193298,52.902276
5789,7.24273699999999,52.700522
5792,8.12164300000001,53.300518
5793,8.418274,53.182996
5796,8.367462,52.592204
5833,9.75860599999998,54.306108
5853,9.001923,53.468431
5856,9.24087500000001,53.906765
5858,9.404297,53.907574
5860,9.38095099999999,53.829028
5861,9.56909199999999,53.961742
5863,9.48532099999999,53.629168
5864,9.73388700000001,53.691015
