1 455 110.96060944 505 119.61802673 556 128.27545166 607 136.93286133
2 231 90.44838715 338 111.86057281 444 133.27276611 551 154.68495178
3 71 32.74824905 86 33.96584702 102 35.18344116 117 36.40103912
4 31 29.34129524 56 31.00811005 82 32.67492294 107 34.34173584
5 61 28.66387939 79 29.72286606 97 30.78185272 115 31.84083939
6 97 33.84770584 107 34.55976105 118 35.27181625 128 35.98387146
7 66 31.42878342 84 32.72999954 102 34.03121948 120 35.33243561
8 70 33.16384506 94 35.03884506 119 36.91384506 143 38.78884125
9 88 34.53736115 108 36.13260651 127 37.72785568 147 39.32310486
10 95 34.35774994 113 35.68593597 131 37.01411819 149 38.34230042
11 76 31.76503181 99 33.33786392 122 34.91069794 144 36.48353195
12 41 33.57990265 69 36.13637161 97 38.69284058 124 41.24930954
13 33 31.06916428 63 33.558918 93 36.04867172 122 38.53842545
14 56 30.93708038 80 32.60165405 104 34.26622772 128 35.93080521
15 86 32.18325806 113 34.2136879 140 36.24412155 166 38.27455139
16 93 38.91400909 118 41.09373474 143 43.2734642 168 45.45318985
17 5 0.0 7 0.0 8 0.0 381.01 0.0
18 7 0.0 9 0.0 10 0.0 375.01 0.0
19 8 0.0 10 0.0 11 0.0 372.01 0.0
20 3 0.0 6 0.0 8 0.0 384.01 0.0
21 10 0.0 14 0.0 18 0.0 22 0.0
22 10 0.0 14 0.0 18 0.0 22 0.0
23 15 0.0 17 0.0 20 0.0 23 0.0
24 5 0.0 5 0.0 6 0.0 6 0.0
25 2 0.0 3 0.0 4 0.0 6 0.0
26 76 34.2008934 94 35.68099976 112 37.16110611 129 38.64121246
27 100 33.42618561 112 34.25009155 123 35.0739975 135 35.89790344
28 72 33.3874588 90 34.76569748 109 36.14393234 128 37.52217102
29 21 26.385952 25 26.56439018 29 26.74282837 33 26.92126656
30 6 28.40617752 14 28.81524849 22 29.22431946 29 29.63339043
31 16 26.05510902 21 26.31957436 26 26.58403969 32 26.84850502
32 14 28.68744659 19 28.9366703 25 29.18589211 31 29.43511581
33 22 25.99107933 26 26.1314888 30 26.27189827 33 26.41230774
34 11 26.18251228 17 26.45378113 24 26.72504997 30 26.99631882
35 42 30.71948814 79 33.38319778 116 36.04690552 153 38.71061707
36 78 31.19935989 106 33.17051315 134 35.14167023 162 37.11282349
37 96 35.54946518 120 37.32460022 143 39.09973526 167 40.87486649
38 5 23.29657745 7 23.35447884 9 23.41237831 11 23.47027779
39 9 24.22141457 10 24.25129509 11 24.28117371 11 24.31105423
40 7 24.71903038 8 24.75130272 10 24.78357506 11 24.8158474
41 8 25.50601578 10 25.57219315 12 25.63837051 14 25.70454597
42 1 10.00545025 1 10.00994968 1 10.01445007 1 10.01895046
43 3 10.06000042 4 10.06719971 4 10.07439995 4 10.08160019
44 1 25.58492279 1 25.59143829 2 25.59795189 2 25.60446739
45 2 25.29069901 2 25.30522537 3 25.31974983 3 25.33427429
46 5 24.69588661 8 24.82792282 12 24.95996094 15 25.09199715
47 5 10.11722469 8 10.18687534 12 10.25652504 15 10.32617474
48 4 10.10077477 7 10.17512512 11 10.24947453 15 10.32382488
49 5 10.12440014 8 10.19200039 12 10.25959969 15 10.32719994
50 2 10.04197502 3 10.0543251 4 10.06667519 4 10.07902527
51 4 10.11337471 8 10.18412495 11 10.25487518 15 10.32562542
52 12 10.24007511 13 10.27462482 15 10.30917454 17 10.3437252
53 82 35.1217308 126 38.22266769 170 41.3236084 214 44.4245491
54 156 40.46551132 181 42.32177734 207 44.17804337 233 46.03430939
55 21 30.00650215 25 30.17163277 28 30.33676338 32 30.501894
56 21 27.30000496 24 27.48069191 28 27.66137886 32 27.84206581
57 216 76.71747589 268 85.89929962 319 95.08112335 370 104.26294708
58 266 86.65059662 305 93.95186615 344 101.25312805 383 108.55438995
59 45 31.60359764 52 32.14757156 60 32.69154358 67 33.23551559
60 124 58.74880219 174 68.24065399 223 77.7325058 273 87.2243576
61 10 0.0 11 0.0 13 0.0 14 0.0
62 8 10.16187477 10 10.20042515 11 10.23897457 13 10.27752495
63 228 69.10980225 289 78.73506165 349 88.36031342 410 97.98557281
64 8 0.0 10 0.0 12 0.0 14 0.0
65 7 0.0 9 0.0 11 0.0 14 0.0
66 53 29.74848938 71 31.08000946 88 32.41152954 106 33.74304962
67 40 28.85147285 61 30.3215065 82 31.79154015 102 33.26157379
68 42 31.30471039 62 32.85635757 83 34.40800476 103 35.95965195
69 47 28.50814819 66 29.86179352 85 31.21543694 104 32.56908035
70 38 31.35196686 59 32.9032402 81 34.45451355 102 36.00579071
71 39 27.25504112 60 28.58469963 81 29.91435814 102 31.24401665
72 74 32.98994827 85 33.74290848 95 34.49586868 105 35.24882889
73 56 32.2563591 71 33.38434982 85 34.51234055 100 35.64033508
74 78 32.70769501 87 33.37640762 97 34.04512024 106 34.71383286
75 36 31.67726326 56 32.91608047 75 34.1548996 95 35.39371872
76 68 34.12954712 80 34.8835144 92 35.6374855 103 36.39145279
77 6 26.50484276 14 26.80615616 22 27.10746956 29 27.40878296
78 18 25.71206284 23 25.90124702 28 26.09043312 32 26.27961731
79 8 25.92604446 15 26.31727791 22 26.70851326 30 27.0997467
80 7 25.93486023 15 26.21713066 22 26.499403 30 26.78167534
