476 1(2123.0)
477 2(1564.0)
481 3(376.0)
482 4(276.0)
483 5(352.0)
487 6(450.0)
488 7(372.0)
493 8(426.0)
494 9(470.0)
495 10(488.0)
496 11(441.0)
500 12(331.0)
501 13(311.0)
502 14(368.0)
507 15(505.0)
508 16(522.0)
509 17(401.01)
510 18(401.01) 19(401.01) 20(401.01)
513 21(64.0) 22(64.0)
514 23(75.0)
515 24(22.0) 25(15.0)
520 26(411.0)
521 27(470.0)
522 28(399.0)
523 29(108.0) 30(71.0) 31(95.0) 32(89.0) 33(111.0) 34(82.0)
527 35(390.0)
528 36(480.0)
529 37(526.0)
531 38(32.0)
533 39(41.0) 40(36.0) 41(44.0)
536 42(4.0) 43(15.0)
537 44(6.0) 45(10.0) 46(40.0)
538 47(40.0) 48(37.0) 49(40.0) 50(13.0) 51(38.0) 52(57.0)
542 53(592.0)
543 54(777.0)
544 55(106.0) 56(105.0)
548 57(1173.0)
549 58(1298.0)
554 59(224.0)
559 60(794.0)
561 61(48.0)
562 62(42.0)
566 63(1276.0)
567 64(44.0)
568 65(41.0)
573 66(318.0)
574 67(285.0)
575 68(290.0)
576 69(302.0)
577 70(280.0)
578 71(282.0)
579 72(359.0) 73(312.0) 74(368.0)
582 75(262.0)
583 76(343.0)
586 77(71.0) 78(101.0) 79(75.0) 80(74.0)
589 81(454.0)
590 82(298.0)
591 83(404.0)
596 84(386.0)
597 85(346.0)
598 86(4.0) 87(47.0)
603 88(2324.0)
607 89(1742.0)
608 90(1993.0)
612 91(226.0)
615 92(1122.0)
617 93(62.0) 94(68.0)
