A1    101 102   3   .24    16  0.0  0.003 0.014 0.461 175 193 200 0
A2    101 103  55   .51    10  2.9  0.055 0.211 0.057 175 208 220 0
A3    101 105  22   .33    10  1.2  0.022 0.085 0.023 175 208 220 0
A4    102 104  33   .39    10  1.7  0.033 0.127 0.034 175 208 220 0
A5    102 106  50   .48    10  2.6  0.050 0.192 0.052 175 208 220 0
A6    103 109  31   .38    10  1.6  0.031 0.119 0.032 175 208 220 0
A7    103 124   0   .02   768  0.0  0.002 0.084 0     400 510 600 1.015
A8    104 109  27   .36    10  1.4  0.027 0.104 0.028 175 208 220 0
A9    105 110  23   .34    10  1.2  0.023 0.088 0.024 175 208 220 0
A10   106 110  16   .33    35  0.0  0.014 0.061 2.459 175 193 200 0
A11   107 108  16   .30    10  0.8  0.016 0.061 0.017 175 208 220 0
A12   108 109  43   .44    10  2.3  0.043 0.165 0.045 350 208 220 0
A14   109 111   0   .02   768  0.0  0.002 0.084 0     400 510 600 1.03
A15   109 112   0   .02   768  0.0  0.002 0.084 0     400 510 600 1.03
A16   110 111   0   .02   768  0.0  0.002 0.084 0     400 510 600 1.015
A17   110 112   0   .02   768  0.0  0.002 0.084 0     400 510 600 1.015
A18   111 113  33   .40    11  0.8  0.006 0.048 0.100 500 600 625 0
A19   111 114  29   .39    11  0.7  0.005 0.042 0.088 500 600 625 0
A20   112 113  33   .40    11  0.8  0.006 0.048 0.100 500 600 625 0
A21   112 123  67   .52    11  1.6  0.012 0.097 0.203 500 600 625 0
A22   113 123  60   .49    11  1.5  0.011 0.087 0.182 500 600 625 0
AB2   113 215  52   .47    11  1.3  0.010 0.075 0.158 500 600 625 0
A23   114 116  27   .38    11  0.7  0.005 0.059 0.082 500 600 625 0
A24   115 116  12   .33    11  0.3  0.002 0.017 0.036 500 600 625 0
A25   115 121  34   .41    11  0.8  0.006 0.049 0.103 1000 600 625 0
A26   115 124  36   .41    11  0.9  0.007 0.052 0.109 500 600 625 0
A27   116 117  18   .35    11  0.4  0.003 0.026 0.055 500 600 625 0
A28   116 119  16   .34    11  0.4  0.003 0.023 0.049 500 600 625 0
A29   117 118  10   .32    11  0.2  0.002 0.014 0.030 500 600 625 0
A30   117 122  73   .54    11  1.8  0.014 0.105 0.221 500 600 625 0
A31   118 121  18   .35    11  0.4  0.003 0.026 0.055 1000 600 625 0
A32   119 120  27.5 .38    11  0.7  0.005 0.040 0.083 1000 600 625 0
A33   120 123  15   .34    11  0.4  0.003 0.022 0.046 1000 600 625 0
A34   121 122  47   .45    11  1.2  0.009 0.068 0.142 500 600 625 0
