101 Abel      2    108   22  0  0   11   138   11
102 Adams     2     97   20  0  0   11   138   12
103 Adler     1    180   37  0  0   11   138   11
104 Agricola  1     74   15  0  0   11   138   11
105 Aiken     1     71   14  0  0   11   138   11
106 Alber     1    136   28  0 1.00 11   138   12
107 Alder     2    125   25  0  0   11   138   12
108 Alger     1    171   35  0  0   11   138   12
109 Ali       1    175   36  0  0   11   138   13
110 Allen     1    195   40  0  0   11   138   13
111 Anna      1      0    0  0  0   11   230   13
112 Archer    1      0    0  0  0   11   230   13
113 Arne      3    265   54  0  0   12   230   14
114 Arnold    2    194   39  0  0   12   230   16
115 Arthur    2    317   64  0  0   12   230   16
116 Asser     2    100   20  0  0   12   230   16
117 Aston     1      0    0  0  0   12   230   17
118 Astor     2    333   68  0  0   12   230   17
119 Attar     1    181   37  0  0   12   230   15
120 Attila    1    128   26  0  0   12   230   15
121 Attlee    2      0    0  0  0   12   230   17
122 Aubrey    2      0    0  0  0   12   230   17
123 Austen    2      0    0  0  0   12   230   15
124 Avery     1      0    0  0  0   12   230   16
