1,2123.0,454.19,134619.4,1501.23754883
2,1564.0,230.89,87995.12,1501.23754883
3,376.0,70.02,17859.15,879.5
4,276.0,30.21,6614.5,879.5
5,352.0,60.25,17859.15,879.5
6,450.0,96.35,4545.42,891.0
7,372.0,65.16,5922.82,891.0
8,426.0,69.49,16179.6,952.38751221
9,470.0,87.1,15846.0,952.38751221
10,488.0,94.07,8506.8,952.38751221
11,441.0,75.5,7339.2,952.38751221
12,331.0,41.0,11947.17,919.5
13,311.0,32.83,3175.83,919.5
14,368.0,55.54,12854.55,919.5
15,505.0,85.62,6166.08,1007.09997559
16,522.0,92.54,10983.33,1007.09997559
17,401.01,4.0,0.0,0.0
18,401.01,6.4,0.0,0.0
19,401.01,7.7,0.0,0.0
20,401.01,2.6,0.0,0.0
21,64.0,9.4,76.68,0.0
22,64.0,9.56,76.68,0.0
23,75.0,14.14,51.12,0.0
24,22.0,1.46,6.39,0.0
25,15.0,4.17,6.39,0.0
26,411.0,75.93,17716.82,909.34997559
27,470.0,99.39,5124.7,909.34997559
28,399.0,71.07,9224.46,909.34997559
29,108.0,20.44,4123.37,677.09997559
30,71.0,5.59,4123.37,677.09997559
31,95.0,15.43,4123.37,677.09997559
32,89.0,13.1,4123.37,677.09997559
33,111.0,21.71,4123.37,677.09997559
34,82.0,10.5,4123.37,677.09997559
35,390.0,41.46,6082.88,1001.59997559
36,480.0,77.16,23761.25,1001.59997559
37,526.0,95.47,13876.57,1001.59997559
38,32.0,4.98,676.02,625.04998779
39,41.0,8.28,1624.82,625.04998779
40,36.0,6.63,1624.82,625.04998779
41,44.0,7.83,2139.94,633.0
42,4.0,0.16,154.76,0.0
43,15.0,2.82,621.96,0.0
44,6.0,0.75,193.97,603.45001221
45,10.0,1.21,389.13,606.90002441
46,40.0,4.65,2147.95,638.125
47,40.0,1.79,451.25,0.0
48,37.0,3.9,451.25,0.0
49,40.0,11.14,451.25,0.0
50,18.05,4.53,106.5,0.0
51,38.0,4.12,451.25,0.0
52,57.0,3.18,451.25,0.0
53,592.0,81.68,12628.77,1144.5
54,777.0,155.03,34535.82,1144.5
55,106.0,20.93,1603.56,673.65002441
56,105.0,20.35,1603.56,673.65002441
57,1173.0,215.89,93109.51,1335.03344727
58,1298.0,265.82,68673.53,1335.03344727
59,224.0,44.25,9542.4,757.5
60,794.0,123.53,77277.6,1264.89172363
61,48.0,9.39,59.36,0.0
62,42.0,7.13,29.68,0.0
63,1276.0,227.74,73268.52,1369.17675781
64,44.0,7.95,0.0,0.0
65,41.0,6.36,62.48,0.0
66,318.0,52.76,8582.0,859.0
67,285.0,39.78,17164.0,859.0
68,290.0,41.51,15447.6,859.0
69,302.0,46.2,15570.2,859.0
70,280.0,37.72,5394.4,859.0
71,282.0,38.43,11156.6,859.0
72,359.0,55.29,10886.05,842.09997559
73,312.0,77.68,10886.05,842.09997559
74,368.0,73.85,10886.05,842.09997559
75,262.0,35.4,16500.96,842.09997559
76,343.0,67.46,3552.29,842.09997559
77,71.0,5.76,4204.4,677.25
78,101.0,17.59,4204.4,677.25
79,75.0,7.22,4204.4,677.25
80,74.0,6.6,4204.4,677.25
81,454.0,96.91,18305.3,897.5
82,298.0,33.6,20699.07,897.5
83,404.0,76.51,10842.37,897.5
84,386.0,79.68,28017.22,802.56402588
85,346.0,63.69,25413.85,802.56402588
86,4.0,0.0,0.0,0.0
87,47.0,0.0,0.0,0.0
88,2324.0,499.88,103057.92,1542.90136719
89,1742.0,313.25,126199.26,1487.60021973
90,1993.0,414.13,97517.61,1487.60021973
91,226.0,0.0,0.0,0.0
92,1122.0,196.6,53674.24,1333.62963867
93,62.0,11.24,0.0,0.0
94,68.0,13.87,0.0,0.0
