1 97.20 104.40 22.80 7.20 20.73 7.20 18.65
2 87.22 93.68 22.81 6.46 20.74 6.46 18.66
3 162.00 174.00 22.56 12.00 20.51 12.00 18.46
4 66.61 71.54 23.33 4.93 21.21 4.93 19.08
5 63.91 68.64 23.20 4.73 21.09 4.73 18.98
6 122.42 131.48 23.30 9.06 21.18 9.06 19.06
7 112.51 120.84 23.83 8.33 21.67 8.33 19.50
8 153.90 165.30 24.15 11.40 21.96 11.40 19.76
9 157.52 169.18 22.84 11.66 20.76 11.66 18.68
10 175.50 188.50 22.94 13.00 20.85 13.00 18.76
13 238.52 256.18 22.42 17.66 20.38 17.66 18.34
14 174.61 187.54 22.45 12.93 20.41 12.93 18.36
15 285.31 306.44 21.69 21.13 19.72 21.13 17.74
16 90.02 96.68 21.74 6.66 19.77 6.66 17.79
18 299.70 321.90 21.24 22.20 19.31 22.20 17.37
19 162.92 174.98 21.83 12.06 19.85 12.06 17.86
20 115.21 123.74 21.74 8.53 19.76 8.53 17.79
